
!Sample_title	"030064-BC-Brain-Met"	"BC00014-Repeat1"	"BC00057-post-chemo"	"BC00064-RECUR"	"PB362"	"UB67-Repeat1"	"BC00085"	"020577-BC-Brain-Met(=73)"	"Normal-Breast-8"	"BC00078T"	"BC00082T"	"PB432-repeat1"	"030311-BC-Brain-Met"	"982085-BC-Brain-Met"	"BC00030-MET-post chemo"	"BC00048"	"BC00083"	"BC00094T"	"BR94-187"
"ID_REF"	"GSM34435"	"GSM34436"	"GSM34444"	"GSM34469"	"GSM34501"	"GSM34503"	"GSM34509"	"GSM34520"	"GSM34524"	"GSM34551"	"GSM34552"	"GSM52882"	"GSM80214"	"GSM80215"	"GSM80225"	"GSM80228"	"GSM80234"	"GSM80236"	"GSM80239"
96	-1.628	-.858	.073	-.145	-.097	-.444	.321	-1.324	-1.278	-.748	.461	-.514	-1.36	-.77	-.611	-1.083	-.098	-.63	-.201
97	-1.235	-2.082	-.374	-.317	-1.082	.054	.456	-.857	-1.014	-.323	-.483	-.584	.227	-.103	-1.039	-.1	-1.226	-.461	-1.566
98	-3.566	-3.68	-1.552	-3.133	-4.232	-3.607	-3.877	-5.3	-2.359	-2.911	-2.831	-3.998	-3.587	-4.181	-3.394	-5.265	-5.187	-2.972	-1.887
99	-.823	-1.443	-1.195	.23	-.924	-.886	-.941	-2.045	.031	-.952	-1.407	-1.531	-2.027	-1.407	-.296	-.536	-1.422	-.668	-1.387
100		.216	0	-1.816	0	1.268	0	.203	0	.167	0	-1.047	0		1.215	.077	0	0	0
101		0	-.411	.451	.648	0	0	.282	0	0	-1.065	0	0		1.215	1.195	0	0	-2.073
102	-2.318	-2.068	-.635	-.453	-1.636	-.372	-1.814	-1.577	-.675	-2	.893	-1.515	-.383	-.237	-1.219	-.877	-1.558	.134	-.358
103	.13	-.726	.046	-.276	.168	-.228	-.328	-.001	.597	-.943	.04	.133	-.436	-.284	-.449	.051	-.777	-.379	.628
104	-2.485	-.798	.027	.418	-1.958	-.977	1.385	-.492	-.837	-1.431	1.663	-.293	-.444	-1.693	-.209	-1.704	.748	-.723	.196
105	-4.048	-3.646	-1.741	-3.178	-5.619	-3.391	-3.771	-5.306	-2.189	-2.967	-2.887	-4.034	-3.56	-4.086	-3.619	-5.294	-5.459	-2.924	-1.906
106		0	-2.041	0	.248	0	-2.343	-.888	0	-.084	1.343	0	0		0	0	0	0	0
107	-.221	-.532	-.12	-.027	-1.539	.06	.193	-.25		-.375	.303	-.111	-.065	-.488	-.459	-.759	-.24	.53	.234
108	-.37	-.57	-.223	-.078	-.449	-.467	-.22	-.343	.109	-.417	.107	-.282	-.256	-.196	-.407	-.571	-.479	-.122	-.281
109	.291	-.678	-.788	-.213	-.593	-.534	-.247	-.001	-.411	-1.574	-.702	-.505	.037	.836	-.168	-.281	-.892	-.677	-.167
110		0	0	1.971	.248	.55	0	-.099	0	1	.175	0	0	1.224	.934	0	0	.676	0
111	.051	-.571	.002	1.003	.056	.422	.98	-.925	.892	-.498	1.745	.142	-.388	-.587	-.128	.104	-.458	.177	-.185
